subject,instance,optimal_length,human_length,complete,rt,nodes_expanded,skipped,trial_number
andra.log,Jam-2,8,11,True,86.1199998856,NA,False,0
andra.log,Jam-3,14,51,True,749.950000048,NA,False,0
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-6,9,20,True,85.8099999428,NA,False,0
andra.log,Jam-7,13,24,True,203.619999886,NA,False,0
andra.log,Jam-4,9,12,True,100.150000095,NA,False,0
andra.log,Jam-5,9,15,True,130.069999933,NA,False,0
andra.log,Jam-8,12,16,True,80.8099999428,NA,False,0
andra.log,Jam-9,12,13,True,59.2599999905,NA,False,0
andra.log,Jam-10,17,65,True,363.410000086,NA,False,0
gianni.log,Jam-2,8,9,True,66.3599998951,NA,False,0
gianni.log,Jam-3,14,5,False,67.0099999905,NA,False,0
gianni.log,Jam-3,14,5,False,56.6199998856,NA,False,1
gianni.log,Jam-3,14,9,False,28.3699998856,NA,False,2
gianni.log,Jam-3,14,4,False,20.5,NA,False,3
gianni.log,Jam-3,14,5,False,13.6599998474,NA,False,4
gianni.log,Jam-3,14,10,False,31.8200001717,NA,False,5
gianni.log,Jam-3,14,6,False,27.9100000858,NA,False,6
gianni.log,Jam-3,14,16,True,55.3899998665,NA,False,7
gianni.log,Jam-1,8,9,True,50.6500000954,NA,False,0
gianni.log,Jam-6,9,10,True,27.2200000286,NA,False,0
gianni.log,Jam-7,13,9,False,42.7000000477,NA,False,0
gianni.log,Jam-7,13,11,False,46.9400000572,NA,False,1
gianni.log,Jam-7,13,14,True,35.9499998093,NA,False,2
gianni.log,Jam-4,9,10,True,28.9700000286,NA,False,0
gianni.log,Jam-5,9,6,False,25.2599999905,NA,False,0
gianni.log,Jam-5,9,10,True,21.629999876,NA,False,1
gianni.log,Jam-8,12,3,False,11.8999998569,NA,False,0
gianni.log,Jam-8,12,14,True,62.7699999809,NA,False,1
gianni.log,Jam-9,12,2,False,17.8499999046,NA,False,0
gianni.log,Jam-9,12,13,True,40.0199999809,NA,False,1
gianni.log,Jam-10,17,4,False,20.5900001526,NA,False,0
gianni.log,Jam-10,17,23,True,79.7400000095,NA,False,1
gianni.log,Jam-13,16,22,False,96.9599997997,NA,False,0
gianni.log,Jam-13,16,24,False,82.8299999237,NA,False,1
gianni.log,Jam-13,16,4,False,25.8800001144,NA,False,2
